segment_id,segment_name,budget_bucket,idea_title,why_it_fits,tags,url_sugerida
S1,Tech Lover,<20,Organizador de cables,"Ordena escritorio y carga sin enredos","practico;envio_48h",https://www.amazon.es/
S1,Tech Lover,20-50,Localizador tipo AirTag/Tile,"Evita perder llaves/cartera, útil diario","practico;movilidad",https://www.amazon.es/
S1,Tech Lover,50-100,SSD portátil 500GB,"Copia de seguridad rápida y compacta","practico;viaje",https://www.amazon.es/
S1,Tech Lover,100-200,Smartwatch gama media,"Salud y notificaciones en muñeca","fitness;practico",https://www.amazon.es/
S1,Tech Lover,>200,Tablet gama media,"Entretenimiento y productividad ligera","premium",https://www.amazon.es/
S2,Foodie/Cocinillas,<20,Set de especias gourmet,"Eleva platos al instante","cocina;alimentacion",https://www.amazon.es/
S2,Foodie/Cocinillas,20-50,Molinillo de especias,"Mejora sabor y aroma recién molido","cocina;practico",https://www.amazon.es/
S2,Foodie/Cocinillas,50-100,Cuchillo chef 8”,"Herramienta clave para cocinar mejor","cocina;premium",https://www.amazon.es/
S2,Foodie/Cocinillas,100-200,Olla lenta,"Comidas sabrosas sin esfuerzo","cocina;hogar",https://www.amazon.es/
S2,Foodie/Cocinillas,>200,Experiencia Michelin,"Gastronomía memorable","experiencia;premium;alcohol",https://www.thefork.es/
S3,Wellness & Fitness,<20,Banda elástica,"Entrena en casa o viaje","fitness;practico;envio_48h",https://www.decathlon.es/
S3,Wellness & Fitness,20-50,Esterilla yoga,"Comodidad y adherencia para rutinas","fitness;yoga",https://www.decathlon.es/
S3,Wellness & Fitness,50-100,Masajeador mini,"Recuperación muscular rápida","bienestar;recuperacion",https://www.amazon.es/
S3,Wellness & Fitness,100-200,Smartwatch fitness,"Registra actividad y sueño","fitness;wearable",https://www.amazon.es/
S3,Wellness & Fitness,>200,Bicicleta estática compacta,"Cardio en casa sin salir","fitness;premium",https://www.amazon.es/
S4,Fashion/Beauty,<20,Neceser de viaje,"Organiza skincare/maquillaje","moda;practico",https://www.zara.com/
S4,Fashion/Beauty,20-50,Bufanda merino,"Accesorio de calidad y versátil","moda",https://www.zara.com/
S4,Fashion/Beauty,50-100,Cartera piel,"Clásico duradero","moda;premium;cuero",https://www.elcorteingles.es/
S4,Fashion/Beauty,100-200,Set perfumes discovery,"Prueba varios aromas niche","perfume;premium",https://www.sephora.es/
S4,Fashion/Beauty,>200,Bolso diseñador,"Statement y durabilidad","moda;premium;cuero",https://www.farfetch.com/
S5,Cultura/Lector,<20,Novela del género favorito,"Lectura alineada a sus gustos","libros;lectura",https://www.casadellibro.com/
S5,Cultura/Lector,20-50,Lámpara de lectura clip,"Lee cómodo sin molestar","hogar;practico",https://www.amazon.es/
S5,Cultura/Lector,50-100,Audible 12 meses,"Lee más en cualquier lugar","digital;lectura",https://www.audible.es/
S5,Cultura/Lector,100-200,eReader básico,"Lectura ligera y catálogo amplio","digital;lectura",https://www.amazon.es/
S5,Cultura/Lector,>200,eReader premium,"Pantalla cálida y gran batería","premium;lectura",https://www.amazon.es/
S6,Gamer,<20,Saldo Steam/PSN/Xbox,"Elige su juego favorito","digital;rapido",https://store.steampowered.com/
S6,Gamer,20-50,Ratón gaming,"Precisión y ergonomía","gaming",https://www.amazon.es/
S6,Gamer,50-100,Auriculares gaming,"Mejor sonido y comunicación","gaming",https://www.amazon.es/
S6,Gamer,100-200,Teclado mecánico,"Respuesta superior y personalización","gaming;teclado",https://www.amazon.es/
S6,Gamer,>200,Monitor 144Hz,"Fluidez competitiva","gaming;premium",https://www.pccomponentes.com/
S7,Música/Audiophile,<20,Kit limpieza vinilos,"Cuida su colección","musica;practico",https://www.amazon.es/
S7,Música/Audiophile,20-50,Altavoz BT mini,"Música en cualquier lugar","musica;portatil",https://www.amazon.es/
S7,Música/Audiophile,50-100,Micrófono USB,"Mejor calidad para llamadas/creación","musica;creacion",https://www.amazon.es/
S7,Música/Audiophile,100-200,DAC/amp portátil,"Sonido más detallado","musica;audio",https://www.amazon.es/
S7,Música/Audiophile,>200,Auriculares hi-fi,"Experiencia auditiva superior","musica;premium",https://www.amazon.es/
